name;rubric;address;rating;reviews;phones;socials;2gis_url
"Makemirrors, торгово-производственная компания";"мебель на заказ";"Бородинская улица, 20";"5";"35";"+7-999-615-99-97";"vkontakte,odnoklassniki,telegram";"https://2gis.ru/vladivostok/firm/70000001044205228"
"Вундеркинды, логоцентр";"детский центр";"улица 50 лет ВЛКСМ, 11";"5";"35";"+7-908-448-15-57, +7-953-220-65-82";"telegram";"https://2gis.ru/vladivostok/firm/70000001006482794"
"Level Oil, автокомплекс";"автомойка";"улица Капитана Шефнера, 12";"4.9";"34";"+7 (423) 261-88-20, +7-908-991-88-20";"";"https://2gis.ru/vladivostok/firm/70000001113907507"
"Лаборатория Масел, автосервис";"автосервис";"Комсомольская улица, 10в";"5";"33";"+7-924-940-60-60";"telegram";"https://2gis.ru/vladivostok/firm/70000001080956917"
"Эко Стиль, натяжные потолки";"натяжные потолки";"Уссурийская улица, 1 к5";"5";"33";"+7-902-480-97-09";"";"https://2gis.ru/vladivostok/firm/70000001020302810"
"Современная гармония красоты, салон";"салон красоты";"Хабаровская улица, 36";"4.9";"32";"+7-995-280-44-11";"telegram";"https://2gis.ru/vladivostok/firm/70000001098028515"
"Apex Service";"автосервис";"Военное шоссе, 46а";"5";"30";"+7-924-126-70-11";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001112930925"
"Diamond, автокомплекс";"автомойка";"Некрасовская улица, 49а";"4.1";"30";"+7-914-660-66-19";"telegram";"https://2gis.ru/vladivostok/firm/70000001090815032"
"Detailing Exclusive, центр ухода за автомобилями";"автомойка";"Днепровская улица, 100 ст15";"4.6";"30";"+7-950-283-33-73";"";"https://2gis.ru/vladivostok/firm/70000001079051199"
"Феникс, автосервис";"автомойка";"Выселковая улица, 49Б ст1";"4.4";"29";"+7-914-705-01-20, +7-914-676-60-78";"";"https://2gis.ru/vladivostok/firm/70000001047972271"
"Максимум, автоцентр";"автосервис";"Снеговая улица, 12 ст4";"4.7";"28";"+7 (423) 267-46-57, +7 (423) 274-00-21";"telegram";"https://2gis.ru/vladivostok/firm/3518965489986963"
"Комфорт Град, строительная компания";"натяжные потолки";"1-я Рабочая улица, 44а";"5";"27";"+7-924-938-48-88, +7-914-969-48-88";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001098459781"
"МвТех, автосервис Mercedes и BMW";"автосервис";"Острогорная улица, 11а";"5";"26";"+7-924-260-06-26";"telegram";"https://2gis.ru/vladivostok/firm/70000001099839727"
"Japan box";"автосервис";"Металлургическая улица, 1г";"4.9";"23";"+7-908-964-06-64";"telegram";"https://2gis.ru/vladivostok/firm/70000001094734145"
"БИКЛИН, клининговый центр";"клининговая компания";"";"4.6";"22";"+7 (423) 280-09-20";"telegram";"https://2gis.ru/vladivostok/firm/70000001037222856"
"Юридическое агентство Защита";"юридические услуги";"Русская улица, 17 ст2";"5";"20";"+7-924-333-58-88";"telegram";"https://2gis.ru/vladivostok/firm/70000001090637811"
"Майн, ногтевая студия";"салон красоты";"улица Вилкова, 11";"5";"20";"+7-924-183-16-84";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001100871843"
"Галеон-строй, строительный магазин";"пластиковые окна";"улица Сипягина, 28";"4.7";"20";"+7 (423) 265-41-81, +7-964-434-41-81";"";"https://2gis.ru/vladivostok/firm/70000001039723692"
"Базальт, оптово-розничная компания";"пластиковые окна";"Волжская улица, 1 ст2";"3.6";"20";"+7-914-672-06-07, +7-914-659-37-23";"";"https://2gis.ru/vladivostok/firm/3518965489868452"
"Progress Auto, автоцентр";"автосервис";"Экипажная улица, 1 ст5";"4.7";"19";"+7-924-122-21-11, +7-934-100-30-80";"telegram";"https://2gis.ru/vladivostok/firm/70000001113073485"
"Доступные Окна";"пластиковые окна";"Выселковая улица, 39 ст15";"4.5";"19";"+7-924-122-52-22";"telegram";"https://2gis.ru/vladivostok/firm/70000001100871091"
"Афанасьев, Юрасик и партнеры, адвокатское бюро";"юридические услуги";"улица Ильичёва, 4";"5";"18";"+7-984-149-80-08";"";"https://2gis.ru/vladivostok/firm/70000001093822007"
"Мультимодал ДВ, транспортная компания";"грузоперевозки";"";"5";"17";"+7-924-731-22-12, +7-908-449-22-12";"";"https://2gis.ru/vladivostok/firm/70000001098183551"
"Идеал, стоматологический кабинет";"стоматология";"улица Нейбута, 31";"4.5";"16";"+7 (423) 290-90-23, +7-902-505-90-23";"telegram";"https://2gis.ru/vladivostok/firm/3518965489911481"
"Быстро чисто, клининговая компания";"клининговая компания";"";"5";"15";"+7-951-001-38-88";"telegram";"https://2gis.ru/vladivostok/firm/70000001114687787"
"Щит и меч, краевая коллегия адвокатов";"юридические услуги";"улица Толстого, 32а";"5";"14";"+7-914-668-56-17";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001029304769"
"Трудовые ресурсы, аутсорсинговая компания";"грузоперевозки";"улица Леонова, 70";"5";"13";"+7-999-618-11-24";"telegram";"https://2gis.ru/vladivostok/firm/70000001086728762"
"Мебель & Интерьер, салон мебели";"мебель на заказ";"Железнодорожная улица, 13 ст2";"5";"12";"+7-902-524-23-01, +7-902-524-22-86";"";"https://2gis.ru/vladivostok/firm/70000001045437470"
"Главный потребительский контроль";"юридические услуги";"Мельниковская улица, 101";"4.6";"12";"+7 (423) 201-70-07";"telegram";"https://2gis.ru/vladivostok/firm/70000001019577702"
"Атмосфера, торгово-производственная компания";"пластиковые окна";"Днепровская улица, 98в";"4.8";"12";"+7-984-193-45-48, +7 (423) 291-23-13";"";"https://2gis.ru/vladivostok/firm/70000001035643144"
"Умные дети";"детский центр";"проспект 100-летия Владивостока, 40а";"5";"12";"+7-924-730-75-15";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001113650565"
"Сервис клин, клининговая компания";"клининговая компания";"Океанский проспект, 8";"5";"11";"+7-914-704-42-88";"telegram";"https://2gis.ru/vladivostok/firm/70000001056398687"
"Чистюля, клининговая компания";"клининговая компания";"";"5";"11";"+7-950-297-60-88";"";"https://2gis.ru/vladivostok/firm/70000001087674496"
"Источник красоты, СПА-салон";"салон красоты";"улица Давыдова, 35";"5";"11";"+7-924-135-24-54";"vkontakte";"https://2gis.ru/vladivostok/firm/70000001112702779"
"Форммэйд, компания";"ремонт квартир";"Алеутская улица, 45";"5";"10";"+7-902-075-66-25";"telegram";"https://2gis.ru/vladivostok/firm/70000001113476944"
"Reshenie, компания";"ремонт квартир";"Выселковая улица, 40";"5";"9";"+7-994-005-80-05";"telegram";"https://2gis.ru/vladivostok/firm/70000001101452395"
"Костюченко, Москаленко и партнеры, коллегия адвокатов";"юридические услуги";"Океанский проспект, 123Б";"5";"9";"+7-924-130-13-38, +7-908-461-31-71";"telegram";"https://2gis.ru/vladivostok/firm/70000001101552974"
"888, автосервис";"автосервис";"улица Толстого, 25 ст2";"4.6";"8";"+7-966-272-78-88";"";"https://2gis.ru/vladivostok/firm/70000001100341299"
"Архи Плюс, дизайн-бюро";"ремонт квартир";"проспект Острякова, 5";"5";"8";"+7-924-7302-750, +7-902-524-17-49";"";"https://2gis.ru/vladivostok/firm/70000001021610935"
"Восток Форс, магазин-склад стройматериалов";"ремонт квартир";"Енисейская улица, 32 ст8";"4.7";"8";"+7-914-960-26-95, +7-984-150-03-32";"telegram";"https://2gis.ru/vladivostok/firm/70000001094087255"
"Деликат";"ремонт квартир";"Снеговая улица, 13а";"4.1";"7";"+7 (423) 200-05-90, +7-914-796-02-49";"telegram";"https://2gis.ru/vladivostok/firm/70000001017797681"
"Diamond Cleaning";"клининговая компания";"";"5";"7";"+7-984-146-46-42";"telegram";"https://2gis.ru/vladivostok/firm/70000001100164586"
"МиЛена";"клининговая компания";"";"5";"7";"+7-994-993-63-11";"";"https://2gis.ru/vladivostok/firm/70000001084543079"
"Адвокат Шихеева Г.И.";"юридические услуги";"Океанский проспект, 48а";"5";"6";"+7-924-522-13-13, +7-924-520-30-87";"";"https://2gis.ru/vladivostok/firm/70000001103767251"
"Строй окна, установка окон";"пластиковые окна";"проспект 100-летия Владивостока, 20";"3.7";"6";"+7-914-706-43-25, +7 (423) 276-43-25";"";"https://2gis.ru/vladivostok/firm/70000001055279029"
"Техстрой-А, оконная компания";"пластиковые окна";"Бородинская улица, 26 ст20";"5";"6";"+7-908-444-86-84, +7-984-197-88-18";"";"https://2gis.ru/vladivostok/firm/70000001035952566"
"Акватория, автомоечный комплекс";"автомойка";"Светланская улица, 90";"3.5";"6";"+7-914-654-00-65";"telegram";"https://2gis.ru/vladivostok/firm/70000001111664738"
"Твой балкон, торгово-монтажная компания";"натяжные потолки";"Черёмуховая улица, 7";"5";"5";"+7 (423) 277-03-33, +7 (423) 273-78-72";"";"https://2gis.ru/vladivostok/firm/70000001024510853"
"Код ремонта, ремонтно-строительная компания";"ремонт квартир";"Выселковая улица, 12Б";"5";"5";"+7-914-340-46-66, +7-914-340-36-66";"telegram";"https://2gis.ru/vladivostok/firm/70000001103736815"
"Сферастрой, торгово-сервисная компания";"ремонт квартир";"Луговая улица, 26Б ст2";"3.1";"5";"+7 (423) 294-26-82, +7 (423) 258-22-36";"";"https://2gis.ru/vladivostok/firm/3518966490425651"
"Валюнинъ, фабрика мягкой мебели";"мебель на заказ";"Карьерная улица, 8";"5";"5";"+7-964-435-01-26";"";"https://2gis.ru/vladivostok/firm/70000001113721541"
"Сиамка Клининг, клининговая компания";"клининговая компания";"";"5";"5";"+7-924-266-78-78";"";"https://2gis.ru/vladivostok/firm/70000001064532697"
"Опора, автосервис";"автосервис";"Острогорная улица, 21";"5";"4";"+7-994-106-17-51, +7-914-067-32-13";"";"https://2gis.ru/vladivostok/firm/70000001114224218"
"Восток, натяжные потолки";"натяжные потолки";"Выселковая улица, 53а";"5";"4";"+7-914-333-55-18";"telegram";"https://2gis.ru/vladivostok/firm/70000001116067388"
"Кабинет военного юриста";"юридические услуги";"Светланская улица, 189";"5";"4";"+7-984-193-91-82";"";"https://2gis.ru/vladivostok/firm/70000001101806630"
"Грузоперевозки Приморье";"грузоперевозки";"Карьерная улица, 1 ст2";"5";"4";"+7-914-713-97-91";"telegram";"https://2gis.ru/vladivostok/firm/70000001114249844"
"Мастер комплект, торговая компания";"пластиковые окна";"Снеговая улица, 121 ст3";"5";"4";"+7-984-198-00-47";"";"https://2gis.ru/vladivostok/firm/70000001006816539"
"Сажени, торговая компания";"ландшафтный дизайн";"Бородинская улица, 20Б ст1";"3.2";"4";"+7-967-958-66-16, +7 (423) 280-66-16";"telegram";"https://2gis.ru/vladivostok/firm/70000001028770337"
"Моризз, фабрика натяжных потолков";"натяжные потолки";"улица Фадеева, 47 ст29";"1.2";"3";"";"";"https://2gis.ru/vladivostok/firm/70000001020247552"
"Декор, магазин-салон";"натяжные потолки";"1-я Рабочая улица, 16";"2.9";"3";"+7 (423) 250-23-02";"";"https://2gis.ru/vladivostok/firm/3518965490201442"
"Дом Пара Дв";"ремонт квартир";"улица Борисенко, 100к";"3.7";"3";"+7-984-143-97-50, +7-914-707-37-50";"";"https://2gis.ru/vladivostok/firm/70000001084430120"
"Грузовой Двор, аренда спецтехники";"грузоперевозки";"улица Зои Космодемьянской, 20 ст7";"5";"3";"+7-904-627-16-66, +7-904-627-92-22";"telegram";"https://2gis.ru/vladivostok/firm/70000001074347241"
"Вертикаль-21, компания";"ландшафтный дизайн";"Днепровская улица, 25д ст4а";"5";"3";"+7-902-077-75-87, +7-995-500-66-37";"";"https://2gis.ru/vladivostok/firm/70000001047678680"
"De`Art, студия";"ландшафтный дизайн";"";"5";"3";"+7 (423) 299-33-66";"telegram";"https://2gis.ru/vladivostok/firm/70000001090634485"
"Мастер Стиль, натяжные потолки";"натяжные потолки";"улица Калинина, 29Б ст И";"5";"2";"+7-924-333-41-41, +7-924-730-65-65";"";"https://2gis.ru/vladivostok/firm/70000001081895806"
"Вид сверху";"ремонт квартир";"Речная улица, 15Б";"5";"2";"+7-914-694-07-77";"telegram";"https://2gis.ru/vladivostok/firm/70000001113720842"
"Контора адвокатов №100";"юридические услуги";"проспект 100-летия Владивостока, 30а";"5";"2";"+7-914-724-59-30, +7-924-720-74-74";"";"https://2gis.ru/vladivostok/firm/70000001115104060"
"Квадрат, строительная компания";"пластиковые окна";"Партизанский проспект, 58";"5";"2";"+7 (423) 290-03-44, +7-902-505-03-44";"";"https://2gis.ru/vladivostok/firm/70000001052120654"
"Мастер склад Приморье, компания";"пластиковые окна";"Снеговая улица, 121 ст3";"3";"2";"+7 (423) 269-36-93";"";"https://2gis.ru/vladivostok/firm/70000001021560603"
"Стекловладсервис, торгово-производственная компания";"пластиковые окна";"Деревенская улица, 21 ст3";"5";"2";"+7-914-705-49-80, +7 (423) 275-49-80";"";"https://2gis.ru/vladivostok/firm/70000001031375235"
"Самая Лучшая Компания";"пластиковые окна";"улица Зои Космодемьянской, 20";"5";"2";"+7 (423) 248-83-85, +7-914-790-16-48";"";"https://2gis.ru/vladivostok/firm/3518965489884583"
"Берг Хаус, строительная компания";"ландшафтный дизайн";"Енисейская улица, 23д к1";"5";"2";"+7-908-979-35-66";"youtube";"https://2gis.ru/vladivostok/firm/70000001050866299"
"Всё Про Потолки";"натяжные потолки";"улица Жигура, 13";"5";"1";"+7-924-138-24-08";"";"https://2gis.ru/vladivostok/firm/70000001109492742"
"Абастон";"натяжные потолки";"Светланская улица, 89";"5";"1";"+7-902-555-30-72";"";"https://2gis.ru/vladivostok/firm/70000001083755272"
"SkyDV, торгово-производственная компания";"натяжные потолки";"Приморская улица, 12";"1";"1";"+7 (423) 200-03-11";"";"https://2gis.ru/vladivostok/firm/70000001018772890"
